epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.8482,1.51547,3.55288,1.58711,0.00554,1,0.43925,0.38705,0.44555,3.85284,1.05791,5e-05,5e-05,5e-05
2,13.5487,1.29362,3.45921,1.44188,0.00525,1,0.43214,0.39021,0.35095,3.79048,1.02048,0.000111386,0.000111386,0.000111386
3,18.1609,1.17761,3.27995,1.28407,0.00531,1,0.37658,0.3481,0.29569,3.7836,0.99521,0.000171535,0.000171535,0.000171535
4,23.1204,1.14355,3.00485,1.27294,0.00586,1,0.38694,0.37312,0.3765,3.79067,1.03765,0.000230446,0.000230446,0.000230446
5,27.5425,1.29896,2.8553,1.31581,0.0085,1,0.43632,0.36378,0.63338,3.88118,1.15428,0.00028812,0.00028812,0.00028812
6,31.8998,1.18299,2.64564,1.24611,0.00832,1,0.44882,0.38403,0.57723,3.85085,1.13177,0.000344556,0.000344556,0.000344556
7,36.4771,1.09991,2.40257,1.1998,0.01006,1,0.60094,0.53253,0.47172,3.77961,1.10648,0.000399755,0.000399755,0.000399755
8,40.5189,1.17736,2.22828,1.31128,0.01072,1,0.58909,0.50676,0.60516,3.83346,1.20125,0.000453716,0.000453716,0.000453716
9,45.3828,1.2028,2.33442,1.26257,0.00823,1,0.41629,0.35418,0.8052,3.88694,1.26008,0.00050644,0.00050644,0.00050644
10,49.9868,1.2144,2.10902,1.28858,0.00907,1,0.58021,0.42839,0.7772,3.71481,1.31553,0.000557926,0.000557926,0.000557926
11,55.5032,1.26371,1.87352,1.30785,0.14698,0.55163,0.55332,0.31078,1.06744,3.80623,1.52027,0.000608175,0.000608175,0.000608175
12,60.6827,1.17033,1.85179,1.287,1,0.23511,0.78771,0.38786,1.54715,3.82236,1.88776,0.000657186,0.000657186,0.000657186
13,66.2623,1.20663,1.87037,1.31387,0.87667,0.13,0.75433,0.42207,1.39854,3.50647,1.85799,0.00070496,0.00070496,0.00070496
14,71.8524,1.28129,2.03972,1.35842,0.89073,0.5,0.78771,0.53053,1.17815,3.14665,1.88549,0.000751496,0.000751496,0.000751496
15,77.0094,1.09049,1.7977,1.1858,0.71588,0.5,0.65452,0.47805,1.2236,3.28779,1.7331,0.000796795,0.000796795,0.000796795
16,82.4567,1.2934,1.7498,1.31683,0.68327,0.375,0.54205,0.37596,1.24448,3.82063,1.63195,0.000840856,0.000840856,0.000840856
17,88.1475,1.23518,1.64141,1.26299,0.81786,0.375,0.63719,0.48807,1.00617,3.04978,1.4887,0.00088368,0.00088368,0.00088368
18,93.3064,1.1259,1.62903,1.23811,0.71361,0.35589,0.63208,0.45923,1.11448,3.09432,1.67931,0.000925266,0.000925266,0.000925266
19,97.9738,1.14492,1.6034,1.1991,0.33964,0.27963,0.57839,0.39807,1.35499,3.24673,1.95398,0.000965615,0.000965615,0.000965615
20,102.715,1.07999,1.54454,1.25291,0.67584,0.5,0.80763,0.57763,1.23355,3.34434,1.76998,0.00100473,0.00100473,0.00100473
21,107.432,1.18288,1.60427,1.25623,0.69091,0.5,0.64189,0.43442,1.17125,3.25688,1.74184,0.0010025,0.0010025,0.0010025
22,112.479,1.06439,1.58044,1.20536,0.87266,0.67376,0.796,0.53693,1.20358,2.62144,1.86547,0.000990125,0.000990125,0.000990125
23,117.783,1.11338,1.39458,1.24242,0.74601,0.625,0.75813,0.52174,1.24092,2.63253,1.91133,0.00097775,0.00097775,0.00097775
24,123.187,1.05485,1.40396,1.20942,0.80229,0.75,0.87062,0.56712,1.11417,2.48226,1.73426,0.000965375,0.000965375,0.000965375
25,128.228,1.03962,1.36896,1.13871,0.73178,0.67308,0.70479,0.4615,1.47174,2.70953,1.99858,0.000953,0.000953,0.000953
26,132.965,1.01434,1.295,1.1799,0.35434,0.625,0.65149,0.4583,1.56645,2.77936,2.21775,0.000940625,0.000940625,0.000940625
27,138.381,1.09395,1.31397,1.16212,0.63152,1,0.95333,0.61057,1.20587,2.61418,1.85309,0.00092825,0.00092825,0.00092825
28,143.704,1.08649,1.35467,1.18513,0.58302,1,0.87062,0.62184,1.12473,2.04647,1.95184,0.000915875,0.000915875,0.000915875
29,149.099,1.06067,1.40579,1.24531,0.61122,1,0.87062,0.62993,1.21203,2.24431,1.91811,0.0009035,0.0009035,0.0009035
30,153.721,1.06178,1.24295,1.15294,0.47529,0.71487,0.80844,0.57816,1.2317,2.45906,1.8081,0.000891125,0.000891125,0.000891125
31,158.591,1.03141,1.24541,1.19605,0.6677,0.91075,0.995,0.59252,1.34158,2.64028,1.89295,0.00087875,0.00087875,0.00087875
32,163.83,1.01752,1.25806,1.18089,0.53327,0.875,0.92,0.62191,1.05347,2.49415,1.69638,0.000866375,0.000866375,0.000866375
33,169.26,1.03506,1.23775,1.15586,0.73685,0.85727,0.92,0.58893,1.10411,2.18779,1.67571,0.000854,0.000854,0.000854
34,174.797,1.09396,1.33936,1.22881,0.9025,0.8315,0.9325,0.67207,0.78648,1.96912,1.33019,0.000841625,0.000841625,0.000841625
35,180.718,1.03801,1.22615,1.15361,0.78627,0.97909,0.995,0.81461,0.70728,1.68458,1.27291,0.00082925,0.00082925,0.00082925
36,186.255,1.06059,1.25611,1.21968,0.71089,0.875,0.91167,0.61978,0.9802,2.14841,1.53771,0.000816875,0.000816875,0.000816875
37,193.197,0.91868,1.17172,1.09576,0.50815,0.875,0.87,0.59997,0.99471,2.38193,1.52839,0.0008045,0.0008045,0.0008045
38,198.824,0.90141,1.10564,1.05792,0.50762,0.875,0.87833,0.57381,1.05678,2.41535,1.54065,0.000792125,0.000792125,0.000792125
